student_id,name,department,age,attendance_%,math_score,science_score,english_score,internship,cgpa,avg_score,grade
S1285,Student_285,CSE,22.0,88.35955298650948,61.0,31.0,82.0,No,6.85,58.0,C
S1286,Student_286,MECH,18.0,,38.0,60.0,83.0,Yes,7.75,60.33,C
S1287,Student_287,MECH,19.0,42.60475197128915,41.0,,98.0,,8.95,69.5,C
S1288,Student_288,ECE,22.0,77.98908253564134,40.0,,95.0,No,6.59,67.5,C
S1289,Student_289,MECH,21.0,97.08420053239942,75.0,52.0,63.0,,7.9,63.33,C
S1290,Student_290,CSE,23.0,76.09670920877987,45.0,94.0,73.0,Yes,6.73,70.67,B
S1291,Student_291,CSE,19.0,89.15133156560742,30.0,,60.0,Yes,9.08,45.0,D
S1292,Student_292,IT,23.0,93.05238780090447,92.0,45.0,51.0,Yes,7.33,62.67,C
S1293,Student_293,ECE,19.0,53.68478631693595,50.0,52.0,47.0,Yes,5.38,49.67,D
S1294,Student_294,CSE,21.0,52.7226903944936,59.0,78.0,60.0,Yes,5.83,65.67,C
S1295,Student_295,MECH,23.0,76.6588593310595,42.0,78.0,83.0,No,5.31,67.67,C
S1296,Student_296,IT,20.0,64.66170818840229,63.0,89.0,41.0,Yes,7.5,64.33,C
S1297,Student_297,CSE,18.0,90.39167817200322,33.0,45.0,,Yes,5.53,39.0,F
S1298,Student_298,CIVIL,20.0,94.00138740388067,57.0,37.0,83.0,Yes,5.57,59.0,C
S1299,Student_299,CSE,22.0,61.20528275816309,88.0,81.0,87.0,No,9.71,85.33,A
